	1000_908	1000	1293_1000	1293_1591	1591	908_1591	908	Phase	X	Y
1	1.38067	0.577347	0.571127	1.02295	0.322341	1.33564	0.421463	1	-19.55533	15.0501
2	1.17162	0.542986	0.682238	1.67304	0.221421	2.10827	0.470874	2	-18.550945	15.0501
3	1.13778	0.717689	0.49862	0.854428	0.418823	1.48385	0.634236	1	-17.54656	15.0501
4	1.24608	0.558173	0.788996	1.55114	0.283918	1.59194	0.455136	2	-16.542175	15.0501
5	1.31701	0.604135	0.70484	0.913911	0.465929	0.98627	0.461389	1	-15.537791	15.0501
6	1.35521	0.650355	0.409161	0.817841	0.325369	1.44593	0.478388	2	-14.533407	15.0501
7	1.36079	0.678635	0.709845	1.62742	0.296005	1.67004	0.500446	2	-13.529023	15.0501
8	1.46192	0.579522	0.496432	0.9239	0.31139	1.2809	0.396849	1	-12.524638	15.0501
9	1.21325	0.771209	0.552144	0.972121	0.43803	1.44506	0.634484	1	-11.520254	15.0501
10	1.31106	0.631346	0.763124	0.876502	0.549679	0.87839	0.480771	1	-10.515869	15.0501
11	1.10017	0.643227	0.913252	0.988965	0.593983	0.958029	0.578474	1	-8.5071011	15.0501
12	1.31982	0.653733	0.840571	1.23875	0.443601	1.09929	0.49273	1	-7.5027161	15.0501
13	1.44179	0.625696	0.494296	0.844605	0.366181	1.17878	0.437277	1	-6.498332	15.0501
14	1.43996	0.724656	0.588567	1.30729	0.326254	1.58841	0.503049	2	-5.4939475	15.0501
15	1.20314	0.598571	0.844901	1.66895	0.303025	1.62241	0.503326	2	-4.489563	15.0501
16	1.34386	0.814023	0.537256	1.30942	0.333994	1.72093	0.60005	2	-3.4851785	15.0501
17	1.24571	0.571012	0.56567	0.762862	0.423412	1.06286	0.456716	1	-2.480794	15.0501
18	1.41187	0.717424	0.565024	1.30067	0.311656	1.63863	0.509651	2	-1.4764097	15.0501
19	1.30636	0.664188	0.647769	1.202	0.357938	1.45179	0.507585	1	-0.47202519	15.0501
20	1.32512	0.571533	0.52014	1.24492	0.238792	1.86673	0.432428	2	0.53235924	15.0501
21	1.35125	0.62211	0.515903	0.895047	0.358583	1.22013	0.453252	1	1.5367436	15.0501
22	1.27787	0.660367	0.582785	1.1665	0.329919	1.51555	0.515991	2	2.5411282	15.0501
