	HC	wG	D5G	D1G	D4D5G	DG	Phase	X	Y
1	0.313480077	55.1813	0.420421665	1.31598833	0.579773504	1.812915621	4	-42.708363	44.1157
2	0.331530558	56.368	0.440877785	1.359106752	0.496927291	1.777886565	3	-41.451542	44.1157
3	0.2539317	53.7235	0.352937104	1.502612412	0.418779813	2.191807113	4	-40.194717	44.1157
4	0.443183134	49.3241	0.567410624	1.311711236	0.6891947	2.159503683	4	-38.937897	44.1157
5	0.488758799	41.9417	0.619060289	1.524736316	0.847792446	2.293994967	4	-37.681076	44.1157
6	0.507922851	48.0022	0.64077839	1.455464523	0.769258651	2.339658174	4	-36.424252	44.1157
7	0.648866803	52.4767	0.80050635	0.91011191	0.884193651	1.393189665	4	-35.167431	44.1157
8	0.361133979	64.7851	0.47442654	1.204143962	0.483077754	1.760114231	3	-33.91061	44.1157
9	0.371716609	60.1458	0.486419548	1.134896808	0.555970269	1.726036701	3	-32.65379	44.1157
10	0.407879511	62.3053	0.527401985	1.067112764	0.591139893	1.749737891	3	-31.396967	44.1157
11	0.44254251	69.8958	0.566684622	0.759267786	0.682625127	1.430922141	3	-30.140144	44.1157
12	0.413353277	66.485	0.533605255	0.589160061	0.671654355	1.09342685	3	-28.883322	44.1157
13	0.328377696	53.2194	0.437304733	1.445877171	0.504266789	1.971174297	4	-27.626501	44.1157
14	0.304900299	53.1641	0.410698435	1.428661426	0.525297127	1.98657261	4	-26.369678	44.1157
15	0.346478604	47.0718	0.457818	1.633591235	0.557911184	2.215288344	4	-25.112856	44.1157
16	0.396135569	42.2673	0.514092893	1.304922984	0.581697109	2.144354985	4	-23.856035	44.1157
17	0.553591415	43.77	0.692533335	0.938108956	0.839432	1.755760101	4	-22.599213	44.1157
18	0.545647216	40.6105	0.68353039	1.117860348	0.817651145	1.617171092	4	-21.342392	44.1157
19	0.26000471	49.4504	0.359819481	1.488242108	0.499310744	2.200145211	4	-20.085569	44.1157
20	0.403935556	45.3659	0.522932407	1.671431453	0.711903103	2.271667613	4	-18.828747	44.1157
21	0.399540653	43.9624	0.517951783	1.218592892	0.60023616	1.966456548	4	-17.571926	44.1157
22	0.530015445	44.1134	0.665815328	1.124234941	0.747863656	1.788342193	4	-16.315104	44.1157
23	0.395053445	45.5348	0.512866551	1.462830248	0.664107251	2.021260335	4	-15.058282	44.1157
24	0.38188794	43.7349	0.497946442	1.786733829	0.558430087	2.51720776	4	-13.80146	44.1157
25	0.456941257	43.8087	0.583002332	1.560506342	0.730473931	2.20330561	4	-12.544639	44.1157
26	0.446577369	43.3921	0.571257217	1.44335132	0.642799268	1.988703385	4	-11.287816	44.1157
27	0.379769957	41.0504	0.495546189	1.610608468	0.545352065	2.288056948	4	-10.030994	44.1157
28	0.443268145	41.0524	0.567506964	1.320758901	0.67744848	1.927439015	4	-8.7741728	44.1157
29	0.430989097	38.6542	0.553591452	1.480795752	0.606680114	2.166422685	6	-7.5173512	44.1157
30	0.470860882	38.7503	0.598777065	1.352059733	0.685626933	2.104969582	6	-6.260529	44.1157
31	0.536899453	37.7383	0.673616787	1.512334922	0.752909849	2.203501202	6	-5.0037074	44.1157
32	0.491160854	38.9145	0.621782473	1.646401471	0.691166281	2.460372214	6	-3.7468853	44.1157
33	0.587454407	38.6005	0.730909347	1.479091357	0.813970743	2.316787228	6	-2.4900634	44.1157
34	0.680308187	37.0419	0.836138018	1.567717281	0.837695871	2.723772982	4	-1.2332417	44.1157
35	0.774763024	36.8021	0.943181124	1.404627177	1.156055701	2.084444123	4	0.023580147	44.1157
36	0.383186167	60.4317	0.499417687	1.242678213	0.679816946	1.283628901	3	1.2804019	44.1157
37	0	100	0	1.084170761	0.040950688	1.82365251	5	2.5372238	44.1157
38	0.595018695	100	0.739481749	0	0.739481749	0.70472869	5	3.7940457	44.1157
39	0.289070025	100	0.392758414	0.597998661	0.70472869	1.643690934	5	5.0508676	44.1157
40	0.305428254	100	0.411296753	0.820818813	1.045692273	4.544671699	5	6.3076892	44.1157
41	0.646117366	0	0.797390487	1.19819744	3.723852886	2.786994516	3	7.5645113	44.1157
42	0.763538533	100	0.930460713	0.583353803	1.588797076	1.386247607	5	8.8213329	44.1157
